# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 13 08:06:56 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr > 0.0
# CONSTRAINT:  and pl_orbeccenstr > 0.0
# CONSTRAINT:  and pl_orbinclstr > 0.0
# CONSTRAINT:  and pl_bmassjstr > 0.0
# CONSTRAINT:  and pl_radjstr > 0.0
# CONSTRAINT:  and pl_densstr > 0.0
# CONSTRAINT:  and st_diststr > 0.0
# CONSTRAINT:  and st_teff > 0.0
# CONSTRAINT:  and st_mass > 0.0
# CONSTRAINT:  and st_radstr > 0.0)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
#
#pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	pl_radj	pl_dens	st_dist	st_teff	st_mass	st_rad
1.51087081	0.011110	0.081000	89.650	0.00267	0.097	3.60000	12.43	2559.00	0.08	0.12
2.42182330	0.015210	0.083000	89.670	0.00434	0.094	6.45000	12.43	2559.00	0.08	0.12
4.04961000	0.021440	0.070000	89.750	0.00129	0.069	4.90000	12.43	2559.00	0.08	0.12
6.09961500	0.028170	0.085000	89.860	0.00195	0.082	4.40000	12.43	2559.00	0.08	0.12
9.20669000	0.037100	0.063000	89.680	0.00214	0.093	3.30000	12.43	2559.00	0.08	0.12
12.35294000	0.045100	0.061000	89.710	0.00422	0.101	5.20000	12.43	2559.00	0.08	0.12
24.73695900	0.093600	0.060000	89.890	0.02196	0.154	7.50000	14.99	3216.00	0.18	0.21
3.77793100	0.026750	0.310000	89.920	0.00569	0.114	4.70000	14.99	3216.00	0.18	0.21
5.35882000	0.038070	0.190000	89.400	0.00692	0.123	4.40000	6.87	3337.00	0.26	0.28
2.45523900	0.030000	0.110000	87.000	0.50500	0.960	0.80000	333.00	3820.00	0.59	0.55
2.64729800	0.032600	0.016000	85.270	0.81200	1.330	0.42000	224.00	3916.00	0.62	0.57
3.06785234	0.034400	0.002000	89.020	0.53800	0.999	0.71700	49.86	4143.00	0.58	0.59
1.40150000	0.020910	0.210000	85.500	0.01447	0.124	9.60000	25.17	3800.00	0.62	0.60
7.91958500	0.069700	0.100000	89.270	0.86300	0.775	2.40000	125.00	4650.00	0.72	0.61
3.79984700	0.041170	0.074000	87.040	0.76000	0.944	1.11800	144.25	4390.00	0.65	0.62
228.77600000	0.704800	0.006900	90.032	0.33300	0.754	0.96400	75.25	4450.00	0.69	0.65
3.92280380	0.042690	0.088000	87.080	0.36900	1.117	0.33100	301.70	4512.00	0.67	0.66
35.61253000	0.191500	0.188000	89.330	0.07142	0.233	7.00000	16.33	4640.00	0.73	0.69
2.87531700	0.036100	0.015000	86.800	7.24600	0.867	13.78000	70.00	4595.00	0.76	0.69
4.72281240	0.050250	0.079000	87.960	2.74000	0.953	3.89000	207.90	4803.00	0.76	0.69
8.35038100	0.070980	0.047000	87.430	0.97400	1.500	0.38000	58.36	4250.00	0.68	0.69
4.14804670	0.045150	0.071000	88.270	0.35300	0.765	0.98600	324.60	4405.00	0.71	0.70
7.81400000	0.067900	0.042000	88.280	0.00091	0.063	4.51000	77.16	4285.00	0.69	0.70
14.69700000	0.103500	0.047000	89.460	0.02800	0.261	2.03000	77.16	4285.00	0.69	0.70
19.48200000	0.124900	0.043000	89.450	0.04499	0.244	2.21000	77.16	4285.00	0.69	0.70
3.13166660	0.037690	0.162000	89.580	0.24300	0.800	0.58900	265.40	4546.00	0.73	0.72
7.32794740	0.066517	0.013000	89.560	0.12540	0.722	0.41100	127.66	4656.10	0.73	0.72
5.50802300	0.055900	0.084000	88.800	0.19700	0.995	0.25000	166.00	4803.00	0.77	0.75
175.06000000	0.633000	0.057000	89.460	0.05349	0.345	1.60000	415.52	5100.00	0.84	0.76
3.83616900	0.045300	0.007000	89.100	0.12800	0.510	1.30000	140.00	4910.00	0.84	0.76
6.76458000	0.065300	0.062000	87.280	0.01372	0.135	6.95000	6.53	4699.00	0.81	0.78
66.26200000	0.355300	0.118100	89.929	0.21100	0.388	3.20000	868.34	4700.00	0.82	0.78
13.24060000	0.105500	0.530000	88.550	2.75000	0.970	3.70000	345.00	5075.00	0.89	0.79
